iter	Logloss
136	0.4795404047
137	0.4784612617
138	0.4780454986
139	0.4771476999
140	0.476004271
141	0.474879252
142	0.4736474079
143	0.472933463
144	0.4719899706
145	0.471428787
146	0.470589015
147	0.4694640352
148	0.4690771869
149	0.4679336361
150	0.4672740506
151	0.4667378981
152	0.4656486139
153	0.4648903738
154	0.4643677644
155	0.4636224337
156	0.4626365454
157	0.4618590425
158	0.4610202948
159	0.4603244766
160	0.4593950606
161	0.4586756469
162	0.4579932355
163	0.4573280315
164	0.4566151932
165	0.4560407773
166	0.4552488188
167	0.4545131555
168	0.4539251954
169	0.4535363936
170	0.4532447942
171	0.4522687991
172	0.4517035728
173	0.4509321077
174	0.4501835676
175	0.4495275101
176	0.4488844601
177	0.4481974695
178	0.4477603322
179	0.4473130076
180	0.4465871222
181	0.4460353539
182	0.4453734616
183	0.4446529543
184	0.4439052144
185	0.4433799596
186	0.4426431827
187	0.4418206669
188	0.4411450234
189	0.44054542
190	0.4399671441
191	0.4395303847
192	0.4390096147
193	0.4387015401
194	0.4380906709
195	0.4371974293
196	0.4366257471
197	0.4361881087
198	0.4356275414
199	0.434775484
200	0.4343324577
201	0.4336795586
202	0.4332778519
203	0.4327167777
204	0.4319047121
205	0.4315541509
206	0.4310141336
207	0.4305484609
208	0.4299202978
209	0.4294066007
210	0.4287161309
211	0.4282843461
212	0.4278390638
213	0.4270319873
214	0.4265951908
215	0.4260217841
216	0.4252774407
217	0.4249135398
218	0.4243843146
219	0.4240321326
220	0.4233983724
221	0.4231159004
222	0.4226696011
223	0.4221014277
224	0.4215390404
225	0.4209430661
226	0.4206796138
227	0.4201899695
228	0.4194503397
229	0.4189161938
230	0.4184735744
231	0.4181957003
232	0.4176228502
233	0.4169955992
234	0.4166316933
235	0.4160628762
236	0.4157093141
237	0.4154250105
238	0.4148219211
239	0.4142090906
240	0.4136663358
241	0.4130807361
242	0.4126928086
243	0.4120255596
244	0.4116047541
245	0.4112687382
246	0.410913575
247	0.4104095884
248	0.4100307392
249	0.4095259284
250	0.4090699966
251	0.4086290746
252	0.408199086
253	0.4076871874
254	0.4072745499
255	0.4069000977
256	0.406678245
257	0.4063036116
258	0.4059170229
259	0.4056023751
260	0.4051645278
261	0.4047065313
262	0.404295355
263	0.4039906614
264	0.4036080681
265	0.4031749712
266	0.4028796766
267	0.4022614961
268	0.4018836527
269	0.4015871556
270	0.4011845734
271	0.4006553286
272	0.400397073
273	0.4000329579
274	0.3995572896
275	0.3992843027
276	0.3989322686
277	0.3986278083
278	0.3983112895
279	0.3977226465
280	0.3973421211
281	0.3968854366
282	0.3965066074
283	0.396102363
284	0.3958935791
285	0.3956928654
286	0.3954451897
287	0.3949769525
288	0.3945533845
289	0.3942831871
290	0.39389345
291	0.3934377685
292	0.3932048526
293	0.3929874103
294	0.3926914836
295	0.3923901144
296	0.3920936156
297	0.39165878
298	0.39120604
299	0.3907924463
300	0.3904788354
301	0.39022589
302	0.3898517238
303	0.3895571178
304	0.389141705
305	0.3888098956
306	0.3884427671
307	0.3882213557
308	0.3878753627
309	0.3875561173
310	0.3871701434
311	0.3869515976
312	0.3866601906
313	0.3863577144
314	0.3860401927
315	0.3857001558
316	0.3855549739
317	0.3851812923
318	0.3849427427
319	0.3847027761
320	0.3845117409
321	0.3842854221
322	0.3841366648
323	0.3838107662
324	0.3835079068
325	0.3832409924
326	0.3828065388
327	0.3826741526
328	0.3824539364
329	0.3822671886
330	0.3819505966
331	0.3816482231
332	0.3813319671
333	0.3810263971
334	0.3806676902
335	0.3803586785
336	0.3800270487
337	0.3796798302
338	0.3795079289
339	0.3791891302
340	0.3788714942
341	0.3786154127
342	0.3781543131
343	0.3777829343
344	0.3774428206
345	0.3771307396
346	0.3767048063
347	0.3763939258
348	0.3762065188
349	0.3758846266
350	0.375560189
351	0.3754006366
352	0.374963969
353	0.3746773939
354	0.3743197951
355	0.3740212549
356	0.373832119
357	0.3735126922
358	0.3732551789
359	0.3730419762
360	0.3726098463
361	0.372302106
362	0.3720601792
363	0.3717768899
364	0.3715750838
365	0.3712689715
366	0.3711650109
367	0.3709396366
368	0.3706577033
369	0.3703873754
370	0.3701149783
371	0.3698477196
372	0.3694566299
373	0.3692858196
374	0.3689578468
375	0.3685489582
376	0.3684474387
377	0.368138648
378	0.3677317045
379	0.367449737
380	0.3670730373
381	0.3669119698
382	0.3666741372
383	0.3664468221
384	0.3662953461
385	0.3661121686
386	0.3657965949
387	0.3656615072
388	0.3653605829
389	0.3650554006
390	0.3647059806
391	0.3644200457
392	0.3643001599
393	0.3640038731
394	0.3636704631
395	0.3633699629
396	0.3632440453
397	0.363016554
398	0.362753137
399	0.36251285
400	0.3623728576
401	0.3621956615
402	0.3620200318
403	0.3617501779
404	0.3615621612
405	0.3613781373
406	0.361193737
407	0.3609603386
408	0.3607121725
409	0.3603506032
410	0.3601718981
411	0.359809778
412	0.3594519474
413	0.3591494257
414	0.3588904326
415	0.3587299162
416	0.3585761563
417	0.3582474799
418	0.3580624988
419	0.3577823849
420	0.3576832765
421	0.3574879586
422	0.3572398463
423	0.3570293972
424	0.3568730412
425	0.3566567364
426	0.3564054731
427	0.3561867428
428	0.3560581656
429	0.355800485
430	0.3556278589
431	0.3554630107
432	0.3552540628
433	0.3549066609
434	0.354608824
